"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_521",0,0,22,0,0,17,34,560,27,635
"ASV_522",0,0,0,35,0,0,0,0,0,0
"ASV_523",0,58,126,0,0,193,0,669,606,0
"ASV_527",355,23,1265,0,0,0,0,0,0,0
"ASV_528",620,44,93,790,4,0,50,0,41,0
"ASV_530",0,0,279,1355,0,0,0,0,0,0
"ASV_533",0,0,0,0,0,44,219,161,0,1157
"ASV_535",22,44,0,12,0,49,222,425,172,465
"ASV_536",12,1208,0,393,0,0,0,0,0,0
"ASV_537",860,537,115,27,0,0,13,40,20,0
"ASV_540",283,299,678,24,0,0,71,201,47,0
"ASV_542",0,0,0,0,0,0,0,8,0,0
"ASV_543",0,1596,0,0,0,0,0,0,0,0
"ASV_544",265,0,765,0,0,0,0,255,0,0
"ASV_545",0,0,0,6,0,0,0,0,0,0
"ASV_546",0,28,0,7,0,65,27,398,392,169
"ASV_547",0,0,46,24,0,0,0,35,907,0
"ASV_548",0,26,205,0,0,217,12,228,0,139
"ASV_550",0,0,0,19,0,0,0,0,0,0
"ASV_552",0,0,26,0,0,0,0,0,0,0
"ASV_553",0,0,0,0,0,0,0,51,0,155
"ASV_558",0,0,0,0,0,0,0,0,0,5
"ASV_561",0,0,0,0,0,0,0,1558,0,0
"ASV_563",29,0,0,188,0,0,0,389,56,119
"ASV_571",11,15,14,43,0,0,0,0,0,13
"ASV_572",15,0,1427,30,0,0,0,0,0,0
"ASV_573",0,0,14,4,0,19,0,0,0,0
"ASV_575",0,0,0,4,0,0,0,0,0,0
"ASV_577",234,175,60,895,10,0,0,0,0,8
"ASV_578",47,0,0,69,0,0,0,0,0,0
"ASV_580",25,48,0,1359,70,0,0,0,0,0
"ASV_581",0,0,141,0,0,0,0,0,0,248
"ASV_584",93,998,170,0,9,0,19,0,8,67
"ASV_590",0,0,0,0,0,0,0,0,0,5
"ASV_592",330,35,295,415,55,0,0,0,0,0
"ASV_593",0,20,0,15,0,0,0,0,0,25
"ASV_597",356,9,7,1073,0,0,0,0,0,9
"ASV_598",0,0,2,0,0,0,0,0,0,0
"ASV_600",0,0,0,3,0,0,0,0,0,0
"ASV_608",0,0,0,0,0,8,0,0,0,7
"ASV_610",0,0,0,0,0,0,0,0,0,29
"ASV_613",0,0,0,0,0,0,34,0,0,1373
