SampleID,X1_Ambient_Intact,X10_Ambient_Disrupted,X11_Ambient_Disrupted,X12_Ambient_Disrupted,X2_Ambient_Intact,X3_Ambient_Intact,X39_Medium_Intact,X4_Ambient_Intact,X40_Medium_Intact,X41_Medium_Intact,X42_Medium_Intact,X43_Medium_Intact,X44_Medium_Intact,X46_Medium_Disrupted,X47_Medium_Disrupted,X48_Medium_Disrupted,X49_Medium_Disrupted,X5_Ambient_Intact,X50_Medium_Disrupted,X6_Ambient_Intact,X7_Ambient_Disrupted,X77_Low_Intact,X78_Low_Intact,X79_Low_Intact,X8_Ambient_Disrupted,X80_Low_Intact,X81_Low_Intact,X82_Low_Intact,X83_Low_Disrupted,X84_Low_Disrupted,X85_Low_Disrupted,X86_Low_Disrupted,X87_Low_Disrupted,X88_Low_Disrupted,X9_Ambient_Disrupted
ASV_1233_Unidentified Desulfobacterales,0.045221245,0.017523472,0,0.02692968,0,0,0.034593789,0.023665192,0.030305326,0,0.020075191,0,0.026919712,0.048534408,0,0.010670162,0.008322237,0.038971161,0.040575698,0.027833304,0,0,0,0.021078024,0.031525189,0.023155891,0.01248196,0.048340818,0.008436287,0,0,0,0.01049408,0.020909566,0.048473097
ASV_1234_WS-7,0.024871685,0,0,0,0,0,0.018627425,0.024575392,0.09849231,0.034025705,0.011862613,0,0.013459856,0,0,0.019816016,0.016644474,0,0.017503242,0.012651502,0.023225926,0,0.022457159,0.021078024,0.086168849,0.087477809,0.020283184,0.026509481,0.021559401,0.017208248,0,0.038869972,0,0.033687634,0.030739037
ASV_1235_Unidentified Bacteria,0,0.042425249,0,0,0.068027211,0.071266873,0,0.035497788,0,0,0.034675329,0,0.030284676,0,0.059322807,0.028199715,0,0,0.039780096,0,0.024774321,0,0,0.033959038,0.044135264,0,0.019503062,0.038984531,0.018747305,0,0,0,0,0.041819132,0
ASV_1236_Halarcobacter,0,0.028590928,0.036181389,0,0,0,0.020401465,0.052791582,0,0.063411541,0.009125087,0,0,0,0,0,0.032100057,0.08907694,0,0.040484806,0.027871112,0.044182622,0,0,0,0,0.010141592,0.045222056,0.020622036,0.029636428,0,0.04197957,0.017172132,0.024394494,0.022463143
ASV_1237_Caldilinea,0.015827436,0.01844576,0.032161235,0.018514155,0,0,0.030158688,0.072815976,0,0.051038557,0,0,0.02523723,0,0,0.014480935,0.040422294,0,0.013525233,0.020242403,0,0,0,0.015223017,0,0,0.016382572,0.053018962,0,0.043020621,0,0,0.031482241,0.046465703,0.024827684
ASV_1238_Desulforhopalus,0.041829652,0.016601184,0,0.038711415,0,0,0.03636783,0.026395791,0.050508877,0.018559475,0.024637734,0,0.018507302,0.054417366,0,0.019053861,0.022588929,0,0.029437271,0.018977253,0,0,0,0.036301041,0,0,0.026524164,0,0,0.015296221,0,0,0.028620219,0.016262996,0.024827684
ASV_1239_Desulfosarcina,0,0.031357792,0.036181389,0,0,0,0.03902889,0.057342581,0,0.05258518,0.022812717,0,0.048791978,0,0,0.024388943,0.032100057,0,0,0.030363604,0,0,0,0.004684005,0,0,0.01248196,0.074850299,0.014060479,0,0,0,0.027666212,0.048788988,0.024827684
ASV_1240_Unidentified Marinilabiliaceae,0,0.022134912,0.036181389,0,0,0.037729521,0.031932728,0.036407988,0.015152663,0.032479082,0.008212578,0,0.018507302,0.020590355,0.018253171,0.019053861,0.015455583,0,0.011138427,0.029098454,0.040258272,0,0,0.005855007,0,0,0.01248196,0.056137725,0.020622036,0.037284538,0,0.015547989,0.025758197,0.031364349,0.024827684
ASV_1241_Halioglobus,0.022610622,0.021212624,0.016080617,0.05049315,0.034013605,0,0.027497627,0.033677389,0.042932545,0.004639869,0.021900208,0,0.03364964,0.050005148,0.022816464,0.009908008,0,0.038971161,0.040575698,0,0,0,0,0.046840053,0.050440302,0.020583014,0.024183797,0.018712575,0.010311018,0,0,0.015547989,0.016218124,0,0.024827684
ASV_1242_Thiodiazotropha,0,0.035046944,0.041541595,0,0.119047619,0,0.015966364,0.055522182,0,0.058771672,0,0,0.04206205,0,0,0.050302194,0.02377782,0,0,0.034159055,0.048000248,0,0,0,0,0,0,0.038984531,0,0.028680414,0,0.035760374,0.026712205,0.032525992,0.021280872
ASV_1243_Hyella,0.042960183,0.01383432,0.01876072,0,0,0,0.053221214,0.006371398,0.022728995,0.032479082,0.044712925,0.045856835,0.04206205,0.030885532,0,0.015243089,0.004755564,0,0.043758105,0.039219655,0,0,0,0.018736021,0.033626868,0,0.010141592,0,0.002812096,0.012428179,0,0,0.020988161,0.006969855,0.024827684
ASV_1244_JAAAOM01,0.047482307,0.00922288,0.016080617,0.04712694,0,0.062882535,0.024836567,0.016383595,0.058085208,0.02629259,0.037412855,0,0.057204388,0.036768491,0.042590733,0.038107723,0,0,0.040575698,0,0.015483951,0,0.015547264,0.025762029,0.042033585,0,0,0,0,0,0,0,0,0,0
ASV_1245_Unidentified Clostridiaceae,0.035046465,0.03689152,0,0,0,0,0,0,0,0,0.030112786,0,0.037014604,0,0.022816464,0.019053861,0.028533384,0,0.032619678,0.031628754,0,0,0,0.036301041,0,0,0.032765144,0,0.039369341,0.044932649,0,0,0.02480419,0.04065749,0.040197203
ASV_1246_Desulfofustis,0.021480091,0.01383432,0.020100772,0,0,0,0.03636783,0.03094679,0,0.055678426,0.011862613,0,0.045427014,0.011765917,0.038027441,0.025913252,0.015455583,0.105778866,0.018298844,0.031628754,0.032516297,0,0,0,0,0,0,0.067053393,0,0.025812373,0,0.018657587,0.021942168,0.065051984,0
ASV_1248_Fusibacter_A,0.042960183,0.01844576,0.029481132,0.079105935,0.05952381,0.079651212,0.035480809,0.019114194,0,0,0.014600139,0,0.038697086,0.03970997,0.034985245,0.022864634,0,0,0.035006484,0.030363604,0.023225926,0,0,0.036301041,0,0,0,0,0.008436287,0,0,0,0,0,0.062660345
ASV_1249_Aureitalea,0.023741154,0.037813808,0,0.03702831,0,0,0.023062526,0.012742796,0.111119529,0.015466229,0.018250173,0,0.053839424,0.029414793,0,0.01371878,0.013077801,0,0.035006484,0.035424205,0.030967902,0,0,0.01756502,0.05674534,0,0,0.0249501,0.015935209,0,0,0.018657587,0.015264117,0.011616426,0.018916331
