"","SampleID","Salinity","Mean_Relabun","SEM"
"138","ASV_1048_JAADHC01","Medium",0.0117094639090909,0.0117094639090909
"139","ASV_1049_Shewanella","Ambient",0.0013955465,0.00101133807189015
"140","ASV_1049_Shewanella","Low",0.00548364708333333,0.00304097312751025
"141","ASV_1049_Shewanella","Medium",0.0673965982727273,0.020368256484818
"142","ASV_104_Winogradskyella","Ambient",0.0183562915,0.00910272669244238
"143","ASV_104_Winogradskyella","Low",0.19223775375,0.0447590910178858
"144","ASV_104_Winogradskyella","Medium",0.0974672163636364,0.0448920374667901
"145","ASV_1050_Unidentified Bacteria","Ambient",0,0
"146","ASV_1050_Unidentified Bacteria","Low",0.0644923530833333,0.0644923530833333
"147","ASV_1050_Unidentified Bacteria","Medium",0,0
"148","ASV_1051_Ga0077541","Ambient",0.00870444125,0.00767919989470707
"149","ASV_1051_Ga0077541","Low",0.0131612871666667,0.00620000856138523
"150","ASV_1051_Ga0077541","Medium",0.0340060981818182,0.0255914578246987
"151","ASV_1052_Desulfosarcina","Ambient",0.00491054366666667,0.00263182637600432
"152","ASV_1052_Desulfosarcina","Low",0,0
"153","ASV_1052_Desulfosarcina","Medium",0.000415720636363636,0.000415720636363636
"154","ASV_1053_Unidentified Acidaminobacteraceae","Ambient",0,0
"155","ASV_1053_Unidentified Acidaminobacteraceae","Low",0.0961206074166667,0.064855946525311
"156","ASV_1053_Unidentified Acidaminobacteraceae","Medium",0,0
"157","ASV_1054_Unidentified Fusobacteriales","Ambient",0.0220594905833333,0.00838127234756216
"158","ASV_1054_Unidentified Fusobacteriales","Low",0.0244939705,0.0080983791187677
"159","ASV_1054_Unidentified Fusobacteriales","Medium",0.0275221674545455,0.0138218843762646
"160","ASV_1055_Unidentified Melioribacteraceae","Ambient",0.0132181121666667,0.00587038310043942
"161","ASV_1055_Unidentified Melioribacteraceae","Low",0.0316135425,0.00727372018955214
"162","ASV_1055_Unidentified Melioribacteraceae","Medium",0.0284415264545455,0.00705014138354138
"163","ASV_1056_WYBL01","Ambient",0.0562333319166667,0.0213162668097681
"164","ASV_1056_WYBL01","Low",0.02645408425,0.00894938098576096
"165","ASV_1056_WYBL01","Medium",0.0177538948181818,0.0100595668578817
"166","ASV_1057_Unidentified Gammaproteobacteria","Ambient",0.0281913871666667,0.0115014273218884
"167","ASV_1057_Unidentified Gammaproteobacteria","Low",0.02170395425,0.00690409625725377
"168","ASV_1057_Unidentified Gammaproteobacteria","Medium",0.0235986498181818,0.010386705407563
"169","ASV_1058_Thiodiazotropha","Ambient",0.0298352765833333,0.00613814654560205
"170","ASV_1058_Thiodiazotropha","Low",0.0173035715833333,0.00432554614889792
"171","ASV_1058_Thiodiazotropha","Medium",0.0302607055454545,0.00537726999535513
"172","ASV_105_Caldithrix","Ambient",0.209127224083333,0.0383003702635207
"173","ASV_105_Caldithrix","Low",0.174571320666667,0.0334917712613224
"174","ASV_105_Caldithrix","Medium",0.272055334181818,0.0338185479382984
"175","ASV_1060_Desulfosarcina","Ambient",0,0
"176","ASV_1060_Desulfosarcina","Low",0.0343639911666667,0.0123008970814703
"177","ASV_1060_Desulfosarcina","Medium",0.0107654515454545,0.00692734336624812
"178","ASV_1061_Sulfurovum","Ambient",0.0377731030833333,0.0149276996386229
"179","ASV_1061_Sulfurovum","Low",0.01957285975,0.00659339813897851
"180","ASV_1061_Sulfurovum","Medium",0.0238376762727273,0.00562954595894915
"181","ASV_1062_BMS3ABIN14","Ambient",0.245671739916667,0.229414333416682
"182","ASV_1062_BMS3ABIN14","Low",0,0
"183","ASV_1062_BMS3ABIN14","Medium",0,0
"184","ASV_1063_Unidentified Desulfocapsaceae","Ambient",0.0215801514166667,0.0065155658058462
"185","ASV_1063_Unidentified Desulfocapsaceae","Low",0.0107399605,0.00349181308807821
"186","ASV_1063_Unidentified Desulfocapsaceae","Medium",0.0298444183636364,0.00820249856109937
"187","ASV_1064_Unidentified RBG-16-71-46","Ambient",0.02497401675,0.00786397057827347
"188","ASV_1064_Unidentified RBG-16-71-46","Low",0.0140421810833333,0.0046081939669089
"189","ASV_1064_Unidentified RBG-16-71-46","Medium",0.0347067856363636,0.00449276753177689
"190","ASV_1065_Unidentified Myxococcota","Ambient",0,0
"191","ASV_1065_Unidentified Myxococcota","Low",0.0204566143333333,0.0152006763115763
"192","ASV_1065_Unidentified Myxococcota","Medium",0,0
"193","ASV_1066_Desulfosarcina","Ambient",0.0206117079166667,0.0070465951019077
"194","ASV_1066_Desulfosarcina","Low",0.0305190288333333,0.010926850402914
"195","ASV_1066_Desulfosarcina","Medium",0.0184274980909091,0.00780906789004622
"196","ASV_1067_SLST01","Ambient",0.0264454981666667,0.0123605784589447
"197","ASV_1067_SLST01","Low",0.00259121058333333,0.00259121058333333
"198","ASV_1067_SLST01","Medium",0.0261251288181818,0.00887123047045911
"199","ASV_1068_UBA1844","Ambient",0.0211059215,0.00572032251866394
"200","ASV_1068_UBA1844","Low",0.02593405625,0.00778032153632766
"201","ASV_1068_UBA1844","Medium",0.0326265418181818,0.00729188465128889
"202","ASV_1069_Unidentified Pirellulaceae","Ambient",0.00845683066666667,0.00471525058840772
"203","ASV_1069_Unidentified Pirellulaceae","Low",0.0529724584166667,0.0244409419580609
"204","ASV_1069_Unidentified Pirellulaceae","Medium",0.0214775139090909,0.0123307913345648
"205","ASV_106_GCA-2748055","Ambient",0.240770570083333,0.0476032785840077
"206","ASV_106_GCA-2748055","Low",0.38606696475,0.0759490313538146
"207","ASV_106_GCA-2748055","Medium",0.221503205636364,0.041158728154965
"208","ASV_1071_Marinobacterium","Ambient",0.0238524529166667,0.0162214984054477
"209","ASV_1071_Marinobacterium","Low",0.0410890959166667,0.012622637220209
"210","ASV_1071_Marinobacterium","Medium",0.016421439,0.00953653641348818
"211","ASV_1072_Maribacter","Ambient",0.0380720640833333,0.00592928782830004
"212","ASV_1072_Maribacter","Low",0.00871649916666667,0.00301607585528903
"213","ASV_1072_Maribacter","Medium",0.0281920752727273,0.00516545945908487
"214","ASV_1073_Haliangium","Ambient",0.0336820685833333,0.00972158384256934
"215","ASV_1073_Haliangium","Low",0.0131767695833333,0.00584458458802534
"216","ASV_1073_Haliangium","Medium",0.0164515072727273,0.00707353465625451
"217","ASV_1074_Unidentified Bacteria","Ambient",0.0186475554166667,0.00618231334789758
"218","ASV_1074_Unidentified Bacteria","Low",0.0189712033333333,0.00792324228532955
"219","ASV_1074_Unidentified Bacteria","Medium",0.0278484013636364,0.00932059364419355
"220","ASV_1075_Ancylomarina","Ambient",0.000893367666666666,0.000893367666666667
"221","ASV_1075_Ancylomarina","Low",0.0229963766666667,0.01101338845805
"222","ASV_1075_Ancylomarina","Medium",0.00265457063636364,0.00265457063636364
"223","ASV_1076_Desulfobacter","Ambient",0.0347863966666667,0.0060951994570966
"224","ASV_1076_Desulfobacter","Low",0.0177682486666667,0.00493847894197181
"225","ASV_1076_Desulfobacter","Medium",0.0285423442727273,0.00731726801423866
"226","ASV_1077_Roseibacillus_B","Ambient",0.0347864595833333,0.0121966973129335
"227","ASV_1077_Roseibacillus_B","Low",0.0159501430833333,0.00388214208372972
"228","ASV_1077_Roseibacillus_B","Medium",0.0248054114545455,0.00595551944651336
"229","ASV_1078_GCA-2748055","Ambient",0.0136467768333333,0.00789909912660464
"230","ASV_1078_GCA-2748055","Low",0.0626783766666667,0.042700012279731
"231","ASV_1078_GCA-2748055","Medium",0.00917221836363636,0.00554879179169464
"232","ASV_1079_Sulfurovum","Ambient",0.02744134125,0.00985361467872957
"233","ASV_1079_Sulfurovum","Low",0.022898246,0.0145353612139345
"234","ASV_1079_Sulfurovum","Medium",0.0362122692727273,0.0139280974056478
"235","ASV_1080_UBA5623","Ambient",0.03728094625,0.0110797789013852
"236","ASV_1080_UBA5623","Low",0.0195511685833333,0.00585472785870833
"237","ASV_1080_UBA5623","Medium",0.0235601410909091,0.00861408152019781
"238","ASV_1081_Unidentified Lachnospirales","Ambient",0.0280806786666667,0.015104935912135
"239","ASV_1081_Unidentified Lachnospirales","Low",0.0222631314166667,0.0120481419119224
"240","ASV_1081_Unidentified Lachnospirales","Medium",0.0183015718181818,0.00929371551488887
"241","ASV_1082_Unidentified Clostridia","Ambient",0.0398346820833333,0.0159006187927882
"242","ASV_1082_Unidentified Clostridia","Low",0.0292354865833333,0.00880400270531687
"243","ASV_1082_Unidentified Clostridia","Medium",0.0284020334545455,0.0145635834005158
"244","ASV_1083_Unidentified Bacteria","Ambient",0.0222830949166667,0.00619487582937169
"245","ASV_1083_Unidentified Bacteria","Low",0.0156239435,0.00368394640078845
"246","ASV_1083_Unidentified Bacteria","Medium",0.0282921739090909,0.00513132917316927
"247","ASV_1086_Unidentified Desulfobacterales","Ambient",0.0255720699166667,0.00766094025122891
"248","ASV_1086_Unidentified Desulfobacterales","Low",0.034942926,0.0106734848948412
"249","ASV_1086_Unidentified Desulfobacterales","Medium",0.0185976561818182,0.00719009236364005
"250","ASV_1087_RR4-38","Ambient",0.00130735958333333,0.000884137532108273
"251","ASV_1087_RR4-38","Low",0.0806496881666666,0.0542310314831959
"252","ASV_1087_RR4-38","Medium",0.00257942236363636,0.00136365318734328
"253","ASV_1088_Unidentified SMWR01","Ambient",0.03986312225,0.00986647996618303
"254","ASV_1088_Unidentified SMWR01","Low",0.0171288620833333,0.00517020244242525
"255","ASV_1088_Unidentified SMWR01","Medium",0.022415979,0.00467982893115983
"256","ASV_1089_GCA-2746365","Ambient",0.01838169225,0.00719332125287944
"257","ASV_1089_GCA-2746365","Low",0.0280772980833333,0.0151142977610145
"258","ASV_1089_GCA-2746365","Medium",0.0234929812727273,0.00712716517948345
"259","ASV_108_UBA2779","Ambient",0.271905757416667,0.0242971832956195
"260","ASV_108_UBA2779","Low",0.179642501416667,0.027954301228439
"261","ASV_108_UBA2779","Medium",0.270380217727273,0.0361135142521592
"262","ASV_1090_Unidentified Gammaproteobacteria","Ambient",0.0139284975833333,0.00733439784503593
"263","ASV_1090_Unidentified Gammaproteobacteria","Low",0.0105658019166667,0.0075073093657375
"264","ASV_1090_Unidentified Gammaproteobacteria","Medium",0.0270684529090909,0.0106071551410223
"265","ASV_1091_Saccharicrinis","Ambient",0.00167506433333333,0.00167506433333333
"266","ASV_1091_Saccharicrinis","Low",0,0
"267","ASV_1091_Saccharicrinis","Medium",0.00711933881818182,0.00253462572872195
"268","ASV_1092_Desulfatitalea","Ambient",0.01887309075,0.011132922093597
"269","ASV_1092_Desulfatitalea","Low",0.00572321475,0.00391699593259322
"270","ASV_1092_Desulfatitalea","Medium",0.0357929097272727,0.011653094139735
"271","ASV_1093_Unidentified Gammaproteobacteria","Ambient",0.0341572380833333,0.00607089275903634
"272","ASV_1093_Unidentified Gammaproteobacteria","Low",0.0107515396666667,0.00345668728345033
"273","ASV_1093_Unidentified Gammaproteobacteria","Medium",0.0264446416363636,0.00461725179438631
"274","ASV_1094_Unidentified Bacteria","Ambient",0.0291084419166667,0.00736695091404943
"275","ASV_1094_Unidentified Bacteria","Low",0.0208657475833333,0.00597099760300283
"276","ASV_1094_Unidentified Bacteria","Medium",0.0178102021818182,0.00578581709318911
"277","ASV_1095_Woeseia","Ambient",0.01826943975,0.00392895073755055
"278","ASV_1095_Woeseia","Low",0.0260621714166667,0.00697714855504293
"279","ASV_1095_Woeseia","Medium",0.0242839583636364,0.00443455694431447
"280","ASV_1096_41T-STBD-0c-01a","Ambient",0.0211015963333333,0.00647341644820303
"281","ASV_1096_41T-STBD-0c-01a","Low",0.0248125465,0.00642260042216179
"282","ASV_1096_41T-STBD-0c-01a","Medium",0.0231795491818182,0.00751331940109764
"283","ASV_1097_Vibrio","Ambient",0.0229961670833333,0.00438885056109249
"284","ASV_1097_Vibrio","Low",0.0235992765,0.00742037146963003
"285","ASV_1097_Vibrio","Medium",0.0200856817272727,0.00428142359774092
"286","ASV_1098_Pseudoalteromonas","Ambient",0.0238776424166667,0.00702195804970973
"287","ASV_1098_Pseudoalteromonas","Low",0.00594416316666667,0.00362183375712722
"288","ASV_1098_Pseudoalteromonas","Medium",0.0380218381818182,0.0111884706069483
"289","ASV_1099_Unidentified Halieaceae","Ambient",0.0449305616666667,0.0223311890418689
"290","ASV_1099_Unidentified Halieaceae","Low",0.00567062133333333,0.00243463987610668
"291","ASV_1099_Unidentified Halieaceae","Medium",0.0192643120909091,0.0088516363331703
"292","ASV_109_Unidentified Alphaproteobacteria","Ambient",0.251367688833333,0.0306116443055111
"293","ASV_109_Unidentified Alphaproteobacteria","Low",0.170448489166667,0.0303367885114615
"294","ASV_109_Unidentified Alphaproteobacteria","Medium",0.241401813272727,0.030484639984631
"295","ASV_10_Unidentified Spirochaetia","Ambient",1.43045471016667,0.199225897554108
